3,Breaking Bad,Mafia,"Albuquerque, USA",10,drugs
5,Game of Thrones,Fantasy,"Europe, Asia",10,political
8,Downton Abbey,Drama,England,9,society
9,Peaky Blinders,Mafia,England,9,gangs
10,Chernobyl,Terror,Ukraine,10,nuclear
12,Seinfeld,Sitcom,"New York, USA",10,nothing
13,Band of Brothers,War,Europe,10,friendship
15,Vikings,History,Europe,8,conquering
1,Sopranos,Mafia,"New Jersey, USA",10,psychological
34,Ripley,Thriller,Italy,9,fraud
26,Fargo,Thriller,"North Dakota, USA",8,violence
2,Ozark,Mafia,"Missouri, USA",6,family
7,Last of Us,Apocalipse,"Texas, USA",9,pandemic
6,Walking Dead,Apocalipse,"Georgia, USA",7,zombies
18,The Whitcher,Fantasy,Fantastic,6,mutants
19,Narcos,Mafia,South America,7,drugs
20,Stranger Things,Fantasy,"Texas, USA",8,friendship
24,Bookie,Comedy,"Los Angeles, USA",6,sports
25,Six Feet Under,Drama,"Los Angeles, USA",8,family
23,The Bear,Drama,"Chicago, USA",9,food
27,Treme,Drama,"New Orleans, USA",7,jazz
28,Mad Men,Drama,"New York, USA",10,marketing
29,Modern Family,Comedy,"Los Angeles, USA",8,family
30,Desperate Housewives,Comedy,"Eagle State, USA",8,dry humour
32,Baby Reindeer,Drama,"London, UK",8,mental health
33,Two and a Half Men,Sitcom,"Los Angeles, USA",9,family
35,Sex and the City,Sitcom,"New York, USA",7,sexuality
37,Friends,Sitcom,"New York, USA",8,friendship
38,The Rings of Power,Fantasy,Middle Earth,9,war
59,Mare of Easttown,Thriller,"Philadelphia, USA",7,neighborhood
44,Dexter,Thriller,"Miami, USA",7,psychopath
39,Queen of the South,Mafia,"Texas, USA",6,drugs
50,Chapelwaite,Terror,"Maine, USA",8,vampires
31,The Night Of,Crime,"New York, USA",10,imigrants
4,Yellowstone,Drama,"Montana, USA",7,nature
22,Succession,Drama,"New York, USA",9,society
21,True Detective,Crime,USA,9,dirty cops
16,Curb your enthusiasm,Sitcom,"Los Angeles, USA",9,routine
17,Big Bang Theory,Sitcom,"Los Angeles, USA",6,science
36,Fresh Prince of Bel Air,Sitcom,"Los Angeles, USA",7,family
40,The Outsider,Terror,"Georgia, USA",7,doppleganger
41,True Blood,Terror,"Louisiana, USA",7,vampires
42,The Haunting of Hill House,Terror,"California, USA",8,ghosts
43,The Haunting of Bly Manor,Terror,England,8,ghosts
45,Barry,Crime,"Los Angeles, USA",8,theater
46,Beef,Comedy,"Los Angeles, USA",9,quarrel
47,The Queenïs Gambit,Drama,"Kentucky, USA",9,chess
48,Bodkin,Mistery,Ireland,7,investigation
49,O Mecanismo,Crime,Brazil,1,corruption
11,Lost,Mistery,Hawaii,7,mistery
51,Young Sheldon,Comedy,"Texas, USA",5,science
14,The Wire,Crime,"Baltimore, USA",9,drugs
52,Extraordinary Attorney Woo,Drama,"Seoul, South Korea",8,autism
57,Top Boy,Crime,"London, England",8,gangs
54,The White Lotus I,Comedy,"Hawaii, USA",8,dry humour
55,The White Lotus II,Comedy,Italy,9,dry humour
56,Weeds,Comedy,"Los Angeles, USA",6,weed
53,Vincenzo,Mafia,"Seoul, South Korea",7,neighborhood
60,Big Little Lies,Drama,"California, USA",8,friendship
61,Casa de Papel,Crime,"Madrid, Spain",7,revolution
62,The Ranch,Sitcom,"Colorado, USA",6,farm
63,Midnight Mass,Terror,Crocket Island,8,vampires
64,One Day at a Time,Sitcom,"Los Angeles, USA",6,latin
65,Dead to Me,Comedy,"Los Angeles, USA",9,dry humour
66,Wednesday Addams,Fantasy,"New England, USA",7,magic
67,Community,Comedy,"Los Angeles, USA",6,univerisity
68,Archive 81,Terror,"New York, USA",7,cults
69,The Office,Sitcom,"Pennsylvania, USA",9,work environment
70,Black Mirror,Terror,USA,9,future distopy
71,The Unbreakable Kimmy Schimitd,Comedy,"New York, USA",5,inocence
72,Rita,Drama,Denmark,7,schooling
73,Atypical,Drama,"Connecticut, USA",6,autism
74,The Last Kingdom,History,England,7,vikings
77,Inventing Anna,Drama,New York,8,fake id
78,Twin Peaks,Mistery,"Washington, USA",10,surrealism
79,Round 6,Terror,"Seoul, South Korea",7,games
80,Machos Alfa,Comedy,"Madrid, Spain",6,sexism
81,Suburra,Mafia,"Naples, Italy",8,gangs
82,Carnivale,Fantasy,USA,8,circus
83,The Strain,Terror,"New York, USA",6,vampires
84,The Regime,Comedy,Eastern Europe,7,dictatorship
85,Boom Boom Bruno,Crime,Germany,7,drag
86,GLOW,Comedy,"Los Angeles, USA",6,wrestling
87,Love,Drama,"Los Angeles, USA",8,relationship
88,Love and Death,Thriller,"Texas, USA",7,relatioship
89,Ratched,Thriller,"California, USA",8,mental care
90,Rome,History,Italy,8,politics
91,Marco Polo,History,Asia,7,traveller
92,Barbarians,History,Central Europe,6,war
93,Kingdom,Terror,Korea,8,zombies
94,Ragnarok,Fantasy,Norway,6,gods
95,Cobra Kai,Comedy,"Los Angeles, USA",8,karate
96,Dear White People,Drama,Winchester University,6,racism
97,Undercover,Crime,Belgium,7,drugs
98,Ferry,Crime,Netherlands,7,drugs
99,Homeland,Crime,Middle East,7,terrorism
100,Dark,Mistery,Germany,8,timetravel
101,"David Brent, Life on the Road",Comedy,England,8,music
102,Bloodline,Thriller,"Florida, USA",7,family
103,Berlin Dogs,Crime,Germany,8,police
